time,fridge,washing_machine,kettle,rice_cooker
2013-02-17 23:42:37,11.53,3.31,0.46,1.98
2013-02-17 23:42:43,11.41,3.07,0.45,1.58
2013-02-17 23:42:49,11.61,3.57,0.08,1.53
2013-02-17 23:42:55,11.1,3.0,0.34,2.19
2013-02-17 23:43:01,11.98,3.17,0.51,1.46
2013-02-17 23:43:07,11.66,3.63,0.04,1.37
2013-02-17 23:43:13,11.1,3.02,0.71,1.33
2013-02-17 23:43:19,11.37,3.05,0.93,1.46
2013-02-17 23:43:25,11.09,3.03,0.62,1.05
2013-02-17 23:43:31,11.06,3.13,0.4,1.21
2013-02-17 23:43:37,11.15,3.38,0.73,1.1400000000000001
2013-02-17 23:43:43,11.74,3.13,0.69,1.3
2013-02-17 23:43:49,11.36,3.32,0.04,1.11
2013-02-17 23:43:55,11.23,3.22,0.11,1.28
2013-02-17 23:44:01,11.53,3.55,0.98,1.01
2013-02-17 23:44:07,11.17,3.34,1.05,1.29
2013-02-17 23:44:13,11.88,3.5,0.45,1.48
2013-02-17 23:44:19,11.16,3.14,0.88,1.54
2013-02-17 23:44:25,11.19,3.08,0.31,1.31
2013-02-17 23:44:31,11.34,3.18,0.14,2.44
2013-02-17 23:44:37,11.31,3.22,0.18,1.41
2013-02-17 23:44:43,11.52,3.14,0.19,1.02
2013-02-17 23:44:49,11.47,3.07,0.28,1.88
2013-02-17 23:44:55,11.42,3.29,0.61,1.09
2013-02-17 23:45:01,11.15,3.12,0.95,1.7
2013-02-17 23:45:07,11.17,3.31,0.49,1.63
2013-02-17 23:45:13,11.49,4.27,1.03,1.37
2013-02-17 23:45:19,11.24,3.18,0.28,1.63
2013-02-17 23:45:25,11.09,3.2800000000000002,0.71,1.83
2013-02-17 23:45:31,11.55,4.58,0.13,1.46
2013-02-17 23:45:37,11.6,3.17,0.16,1.01
2013-02-17 23:45:43,11.41,3.71,0.68,1.44
2013-02-17 23:45:49,11.68,3.95,0.22,1.08
2013-02-17 23:45:55,11.04,3.15,1.03,1.1
2013-02-17 23:46:01,11.5,3.14,0.25,1.18
2013-02-17 23:46:07,11.18,3.23,0.24,2.05
2013-02-17 23:46:13,11.32,3.35,0.13,1.17
2013-02-17 23:46:19,11.18,3.62,0.26,1.8
2013-02-17 23:46:25,11.77,3.06,0.83,2.06
2013-02-17 23:46:31,11.02,3.12,0.42,1.6600000000000001
2013-02-17 23:46:37,11.78,3.2800000000000002,0.75,1.06
2013-02-17 23:46:43,12.31,3.01,0.44,1.15
2013-02-17 23:46:49,11.41,3.1,0.44,1.1
2013-02-17 23:46:55,11.04,3.59,0.02,1.31
2013-02-17 23:47:01,11.15,4.3100000000000005,0.26,1.21
2013-02-17 23:47:07,11.05,3.51,0.07,1.09
2013-02-17 23:47:13,11.99,3.15,0.32,1.71
2013-02-17 23:47:19,11.11,3.38,0.08,1.73
2013-02-17 23:47:25,11.18,3.56,0.15,1.46
2013-02-17 23:47:31,11.74,3.77,0.78,1.38
2013-02-17 23:47:37,11.26,3.76,0.81,1.11
2013-02-17 23:47:43,11.4,3.58,1.19,1.28
2013-02-17 23:47:49,11.25,3.22,0.4,1.6800000000000002
2013-02-17 23:47:55,11.46,3.54,0.84,1.35
2013-02-17 23:48:01,11.16,3.12,1.15,1.22
2013-02-17 23:48:07,11.26,3.35,0.66,1.02
2013-02-17 23:48:13,11.26,3.36,0.58,1.09
2013-02-17 23:48:19,11.05,3.08,0.41,1.26
2013-02-17 23:48:25,11.48,3.8,0.24,1.01
2013-02-17 23:48:31,11.35,3.39,0.43,1.55
2013-02-17 23:48:37,11.16,4.29,0.37,1.5699999999999998
2013-02-17 23:48:43,11.2,3.99,0.72,1.19
2013-02-17 23:48:49,11.73,3.4,0.06,1.77
2013-02-17 23:48:55,11.15,3.38,0.63,1.47
2013-02-17 23:49:01,11.13,4.27,0.48,1.27
2013-02-17 23:49:07,11.0,3.08,0.23,1.5699999999999998
2013-02-17 23:49:13,11.12,3.6,0.85,1.42
2013-02-17 23:49:19,11.71,3.11,0.01,1.31
2013-02-17 23:49:25,11.21,3.22,1.04,1.3599999999999999
2013-02-17 23:49:31,11.17,3.62,0.77,1.12
2013-02-17 23:49:37,11.4,3.3,0.03,2.1100000000000003
2013-02-17 23:49:43,11.08,3.46,0.13,1.6099999999999999
2013-02-17 23:49:49,11.2,3.58,0.05,1.5699999999999998
2013-02-17 23:49:55,11.94,3.85,0.34,1.33
2013-02-17 23:50:01,11.09,3.43,0.01,1.5
2013-02-17 23:50:07,11.13,3.36,0.16,1.6400000000000001
2013-02-17 23:50:13,11.04,3.37,0.21,1.62
2013-02-17 23:50:19,11.96,3.18,0.21,2.1799999999999997
2013-02-17 23:50:25,11.01,3.5300000000000002,1.23,1.27
2013-02-17 23:50:31,11.03,3.75,0.25,1.26
2013-02-17 23:50:37,12.23,3.09,0.55,1.58
2013-02-17 23:50:43,11.1,3.2800000000000002,0.31,1.22
2013-02-17 23:50:49,11.15,3.49,0.01,1.55
2013-02-17 23:50:55,11.02,3.2,0.36,1.33
2013-02-17 23:51:01,11.58,3.06,0.7,1.19
2013-02-17 23:51:07,11.57,3.05,0.84,1.48
2013-02-17 23:51:13,11.38,3.5,0.7,1.18
2013-02-17 23:51:19,11.4,3.38,0.33,1.47
2013-02-17 23:51:25,11.45,3.5,0.59,1.07
2013-02-17 23:51:31,11.7,3.27,0.37,1.63
2013-02-17 23:51:37,11.7,3.85,0.96,1.09
2013-02-17 23:51:43,11.29,3.37,0.45,1.72
2013-02-17 23:51:49,12.1,3.23,0.01,1.16
2013-02-17 23:51:55,11.5,3.01,0.72,1.29
2013-02-17 23:52:01,11.28,3.94,0.02,1.6800000000000002
2013-02-17 23:52:07,11.05,3.38,0.6,1.51
2013-02-17 23:52:13,11.25,3.4,0.17,1.49
2013-02-17 23:52:19,11.78,3.05,0.27,1.32
2013-02-17 23:52:25,11.03,3.59,0.06,1.06
2013-02-17 23:52:31,11.53,3.76,0.19,1.1
2013-02-17 23:52:37,11.24,3.52,0.41,1.2
2013-02-17 23:52:43,11.46,3.04,0.31,1.22
2013-02-17 23:52:49,11.77,3.04,1.1,1.78
2013-02-17 23:52:55,11.39,3.03,0.35,1.19
2013-02-17 23:53:01,11.16,3.01,0.69,1.03
2013-02-17 23:53:07,11.41,3.23,0.07,1.28
2013-02-17 23:53:13,11.62,3.44,0.4,1.2
2013-02-17 23:53:19,11.11,3.31,0.52,1.73
2013-02-17 23:53:25,11.65,3.15,0.39,1.01
2013-02-17 23:53:31,11.8,3.44,0.23,1.34
2013-02-17 23:53:37,11.09,3.32,0.16,1.46
2013-02-17 23:53:43,11.13,3.7800000000000002,0.26,1.12
2013-02-17 23:53:49,11.39,3.64,0.1,1.09
2013-02-17 23:53:55,11.62,3.67,0.26,1.22
2013-02-17 23:54:01,11.66,3.4,0.66,1.87
2013-02-17 23:54:07,11.26,3.09,0.6,1.43
2013-02-17 23:54:13,11.15,3.4699999999999998,0.41,1.3
2013-02-17 23:54:19,11.13,3.24,0.21,1.6400000000000001
2013-02-17 23:54:25,11.17,3.12,0.4,1.52
2013-02-17 23:54:31,11.34,3.02,0.36,1.31
2013-02-17 23:54:37,11.12,3.1,0.58,1.31
2013-02-17 23:54:43,11.15,3.01,0.46,1.16
2013-02-17 23:54:49,11.36,3.34,0.31,1.29
2013-02-17 23:54:55,11.93,3.56,1.2,1.3900000000000001
2013-02-17 23:55:01,11.24,3.75,0.66,1.76
2013-02-17 23:55:07,11.6,3.2800000000000002,0.16,1.41
2013-02-17 23:55:13,11.33,3.7199999999999998,0.21,1.33
2013-02-17 23:55:19,11.49,3.33,0.02,1.11
2013-02-17 23:55:25,11.39,3.3,0.64,1.15
2013-02-17 23:55:31,11.58,3.18,0.08,1.08
2013-02-17 23:55:37,11.41,3.01,1.14,1.87
2013-02-17 23:55:43,11.48,4.18,1.07,1.3900000000000001
2013-02-17 23:55:49,11.21,3.03,0.3,1.26
2013-02-17 23:55:55,11.41,3.01,0.45,1.23
2013-02-17 23:56:01,11.95,3.01,0.19,1.97
2013-02-17 23:56:07,11.12,3.19,0.47,1.09
2013-02-17 23:56:13,11.38,3.23,0.52,1.58
2013-02-17 23:56:19,11.44,3.2800000000000002,0.21,1.21
2013-02-17 23:56:25,11.41,3.7199999999999998,0.49,1.12
2013-02-17 23:56:31,11.04,3.2,0.31,1.01
2013-02-17 23:56:37,11.17,3.25,0.14,1.49
2013-02-17 23:56:43,11.14,3.08,0.46,1.6600000000000001
2013-02-17 23:56:49,11.41,3.19,0.03,1.13
2013-02-17 23:56:55,11.01,3.11,0.33,1.29
2013-02-17 23:57:01,11.73,3.29,0.42,1.78
2013-02-17 23:57:07,11.13,3.16,0.32,1.27
2013-02-17 23:57:13,12.36,3.17,0.59,1.1400000000000001
2013-02-17 23:57:19,11.31,3.49,0.16,1.03
2013-02-17 23:57:25,11.43,3.39,0.8,1.5
2013-02-17 23:57:31,11.54,3.18,0.23,1.75
2013-02-17 23:57:37,11.24,3.37,0.36,1.9100000000000001
2013-02-17 23:57:43,11.11,3.15,0.76,1.23
2013-02-17 23:57:49,11.36,3.11,0.3,1.32
2013-02-17 23:57:55,11.24,3.06,0.04,1.65
2013-02-17 23:58:01,11.04,4.4399999999999995,0.8,1.17
2013-02-17 23:58:07,11.42,3.25,0.45,1.08
2013-02-17 23:58:13,11.76,3.16,0.25,1.87
2013-02-17 23:58:19,11.22,3.14,0.57,1.09
2013-02-17 23:58:25,11.43,3.56,0.74,1.27
2013-02-17 23:58:31,11.11,3.04,0.78,1.3599999999999999
2013-02-17 23:58:37,11.62,3.64,0.19,1.27
2013-02-17 23:58:43,11.09,3.58,0.61,1.71
2013-02-17 23:58:49,11.19,3.16,0.04,1.12
2013-02-17 23:58:55,11.44,3.55,0.12,1.04
2013-02-17 23:59:01,11.08,3.12,0.33,1.34
2013-02-17 23:59:07,11.03,3.7199999999999998,0.57,1.12
2013-02-17 23:59:13,11.57,3.92,0.75,1.53
2013-02-17 23:59:19,11.18,3.96,0.71,1.27
2013-02-17 23:59:25,11.28,3.09,1.22,1.1
2013-02-17 23:59:31,11.54,3.14,0.5,1.85
2013-02-17 23:59:37,11.53,3.48,0.22,2.0300000000000002
2013-02-17 23:59:43,11.69,3.31,0.04,1.16
2013-02-17 23:59:49,11.47,3.62,0.74,1.3599999999999999
2013-02-17 23:59:55,11.26,3.7,0.08,1.04
2013-02-18 00:00:01,11.26,4.26,1.0,1.49
2013-02-18 00:00:07,11.26,3.16,0.41,1.31
2013-02-18 00:00:13,12.93,3.33,0.12,1.46
2013-02-18 00:00:19,11.29,3.0,0.05,1.25
2013-02-18 00:00:22,11.57,3.77,0.01,1.32
2013-02-18 00:00:25,11.48,3.69,0.83,1.49
2013-02-18 00:00:31,11.33,4.13,0.01,1.1
2013-02-18 00:00:37,11.16,3.43,0.4,1.18
2013-02-18 00:00:43,11.38,3.49,0.16,1.25
2013-02-18 00:00:49,11.39,3.66,0.87,1.65
2013-02-18 00:00:55,11.12,3.06,0.32,1.3
2013-02-18 00:01:01,11.24,3.04,0.37,1.01
2013-02-18 00:17:34,11.04,3.31,0.11,1.16
2013-02-18 00:17:36,12.16,3.08,0.72,1.13
2013-02-18 00:17:40,11.93,3.35,0.85,1.73
2013-02-18 00:17:42,11.34,3.19,1.04,1.5899999999999999
2013-02-18 00:17:46,11.81,3.73,0.24,1.45
2013-02-18 00:17:48,11.24,3.2,0.13,1.41
2013-02-18 00:17:52,11.54,3.54,0.46,1.78
2013-02-18 00:17:54,11.03,3.09,0.34,2.35
2013-02-18 00:17:58,11.54,3.06,0.47,2.33
2013-02-18 00:18:00,11.36,3.49,0.19,1.34
2013-02-18 00:18:05,11.34,3.3,0.22,1.13
2013-02-18 00:18:06,11.37,3.61,0.15,1.16
2013-02-18 00:18:11,11.11,3.25,0.72,1.29
2013-02-18 00:18:12,11.02,3.15,0.34,1.33
2013-02-18 00:18:17,11.33,3.18,0.2,1.01
2013-02-18 00:18:18,12.07,3.29,0.02,1.52
2013-02-18 00:18:23,11.32,3.27,0.61,1.77
2013-02-18 00:18:24,12.01,3.48,0.94,1.73
2013-02-18 00:18:29,11.09,3.46,0.91,1.41
2013-02-18 00:18:30,11.33,3.2800000000000002,1.03,1.3599999999999999
2013-02-18 00:18:35,11.43,3.12,0.44,1.03
2013-02-18 00:18:36,11.4,3.79,0.53,1.51
2013-02-18 00:18:41,11.06,3.5,0.9,1.62
2013-02-18 00:18:42,11.25,3.24,0.34,1.45
2013-02-18 00:18:47,11.43,3.04,0.37,1.08
2013-02-18 00:18:48,11.6,3.49,0.67,1.7
2013-02-18 00:18:54,11.17,3.05,0.05,1.46
2013-02-18 00:19:00,11.24,3.29,0.28,1.79
2013-02-18 00:19:06,11.33,3.79,0.22,1.75
2013-02-18 00:19:12,11.88,3.06,0.61,1.08
2013-02-18 00:19:13,11.2,3.24,0.08,1.3900000000000001
2013-02-18 00:19:18,11.63,3.59,0.24,1.99
2013-02-18 00:19:19,11.46,3.54,0.65,1.01
2013-02-18 00:19:24,12.06,3.89,0.37,2.2800000000000002
2013-02-18 00:19:25,11.52,3.01,0.03,1.01
2013-02-18 00:19:30,11.76,3.13,0.29,1.53
2013-02-18 00:19:31,11.24,3.82,0.75,1.01
2013-02-18 00:19:36,11.63,3.86,0.45,1.18
2013-02-18 00:19:37,11.35,3.24,0.22,1.23
2013-02-18 00:19:43,11.22,3.54,0.32,1.46
2013-02-18 00:19:49,11.39,3.11,0.76,1.01
2013-02-18 00:19:55,11.46,3.9699999999999998,0.15,1.29
2013-02-18 00:20:01,11.03,3.16,1.05,1.55
2013-02-18 00:20:07,12.620000000000001,3.52,1.03,1.24
2013-02-18 00:20:08,11.51,3.61,1.05,1.28
2013-02-18 00:20:13,11.13,3.11,0.16,1.6800000000000002
2013-02-18 00:20:14,11.62,3.09,0.05,1.24
2013-02-18 00:20:19,11.82,3.27,0.44,1.74
2013-02-18 00:20:20,11.72,3.34,1.02,1.31
2013-02-18 00:20:25,11.22,3.54,0.31,1.6
2013-02-18 00:20:26,11.07,3.46,0.68,1.37
2013-02-18 00:20:32,11.72,3.23,0.49,1.48
2013-02-18 00:20:38,11.72,3.31,0.67,1.5699999999999998
2013-02-18 00:20:44,11.58,3.08,0.13,1.55
2013-02-18 00:20:50,11.01,3.16,0.38,1.75
2013-02-18 00:20:56,11.49,3.57,0.11,1.62
2013-02-18 00:20:57,11.23,3.4,0.1,1.02
2013-02-18 00:21:02,11.1,3.74,0.17,1.42
2013-02-18 00:21:03,11.3,3.38,0.51,1.35
2013-02-18 00:21:08,11.03,3.11,0.9,1.33
2013-02-18 00:21:09,11.19,3.12,0.74,1.11
2013-02-18 00:21:15,11.06,3.92,0.72,1.8199999999999998
2013-02-18 00:21:21,11.33,3.62,0.48,1.2
2013-02-18 00:21:27,11.79,3.62,0.24,1.5699999999999998
2013-02-18 00:21:33,11.62,3.87,0.29,1.16
2013-02-18 00:21:34,12.07,3.09,0.05,1.24
2013-02-18 00:21:39,11.98,3.27,0.61,2.17
2013-02-18 00:21:40,11.08,3.11,0.33,1.33
2013-02-18 00:21:45,11.29,3.09,0.16,1.06
2013-02-18 00:21:46,11.14,3.27,0.13,1.03
2013-02-18 00:21:51,11.31,3.39,0.12,1.62
2013-02-18 00:21:52,11.1,3.15,0.57,1.6800000000000002
2013-02-18 00:21:58,11.25,3.24,0.29,1.37
2013-02-18 00:22:04,11.29,3.16,0.36,1.02
2013-02-18 00:22:10,11.42,3.63,0.51,1.02
2013-02-18 00:22:16,11.18,3.13,0.65,1.1400000000000001
2013-02-18 00:22:17,11.35,3.89,1.28,1.08
2013-02-18 00:22:22,11.45,3.19,0.21,1.69
2013-02-18 00:22:23,11.15,3.36,0.19,1.38
2013-02-18 00:22:28,11.41,3.27,0.74,1.13
2013-02-18 00:22:29,11.31,3.41,0.25,1.15
2013-02-18 00:22:35,11.41,3.1,0.17,1.32
2013-02-18 00:22:41,11.28,3.7199999999999998,0.58,1.04
2013-02-18 00:22:47,11.37,3.19,0.0,1.35
2013-02-18 00:22:53,11.31,3.11,0.04,1.16
2013-02-18 00:22:54,11.01,3.55,0.13,1.06
2013-02-18 00:22:59,11.06,3.29,0.16,1.8599999999999999
2013-02-18 00:23:00,11.64,3.4699999999999998,0.29,1.67
2013-02-18 00:23:05,11.3,3.63,0.28,1.33
2013-02-18 00:23:06,11.27,3.12,0.03,1.05
2013-02-18 00:23:12,11.1,3.06,0.86,1.37
2013-02-18 00:23:18,11.11,3.6,0.11,1.16
2013-02-18 00:23:24,11.55,3.31,0.72,1.28
2013-02-18 00:23:25,11.41,3.52,0.36,1.52
2013-02-18 00:23:30,11.41,3.17,1.17,1.17
2013-02-18 00:23:31,11.65,3.18,0.76,1.31
2013-02-18 00:23:36,11.01,3.18,0.21,1.32
2013-02-18 00:23:37,11.34,3.69,1.17,1.17
2013-02-18 00:23:42,11.16,3.08,0.42,1.13
2013-02-18 00:23:43,11.16,3.67,1.21,1.7
2013-02-18 00:23:49,11.07,3.57,0.09,1.11
2013-02-18 00:23:55,11.05,3.5300000000000002,0.21,1.12
2013-02-18 00:24:01,11.3,3.01,0.36,1.08
2013-02-18 00:24:07,11.41,3.38,0.11,1.9
2013-02-18 00:24:08,12.05,3.31,1.12,1.44
2013-02-18 00:24:13,11.5,3.29,0.26,1.06
2013-02-18 00:24:14,11.61,3.19,0.58,1.46
2013-02-18 00:24:19,11.58,3.06,0.05,1.24
2013-02-18 00:24:20,11.4,3.5300000000000002,1.14,1.01
2013-02-18 00:24:25,11.31,3.34,1.08,1.15
2013-02-18 00:24:26,11.31,3.03,0.19,2.0300000000000002
2013-02-18 00:24:32,11.01,3.03,0.49,1.05
2013-02-18 00:24:38,11.45,3.33,0.37,1.8
2013-02-18 00:24:44,11.04,3.24,0.13,1.73
2013-02-18 00:24:50,11.34,3.2800000000000002,0.25,1.1
2013-02-18 00:24:51,11.49,3.02,0.06,1.35
2013-02-18 00:24:56,11.07,3.0,0.53,1.43
2013-02-18 00:24:57,11.41,3.18,0.39,1.4
2013-02-18 00:25:02,11.16,3.9,0.67,1.51
2013-02-18 00:25:03,11.21,3.12,0.04,1.2
2013-02-18 00:25:08,11.28,3.26,0.31,1.16
2013-02-18 00:25:09,11.41,3.49,0.9,1.6099999999999999
2013-02-18 00:25:15,11.12,3.75,0.28,1.62
2013-02-18 00:25:21,11.12,3.29,0.45,1.83
2013-02-18 00:25:27,11.25,3.64,0.11,2.27
2013-02-18 00:25:33,11.24,3.2800000000000002,0.3,1.83
2013-02-18 00:25:34,11.12,3.14,0.14,1.22
2013-02-18 00:25:39,11.72,3.06,0.49,1.85
2013-02-18 00:25:40,11.7,3.71,0.15,1.4
2013-02-18 00:25:45,11.36,4.1899999999999995,0.16,1.29
2013-02-18 00:25:46,11.11,3.4,0.05,1.19
2013-02-18 00:25:51,11.16,3.0,0.52,1.6400000000000001
2013-02-18 00:25:52,11.74,3.24,0.41,1.31
2013-02-18 00:25:58,11.43,3.34,0.58,1.1
2013-02-18 00:26:04,11.08,3.18,0.56,1.55
2013-02-18 00:26:10,11.01,3.04,0.23,1.3
2013-02-18 00:26:16,11.5,3.25,0.56,1.13
2013-02-18 00:26:17,11.01,3.1,0.03,1.03
2013-02-18 00:26:22,11.14,3.42,0.19,1.47
2013-02-18 00:26:23,11.16,3.27,0.48,1.1
2013-02-18 00:26:28,11.41,3.08,0.32,1.34
2013-02-18 00:26:29,11.26,3.21,0.03,1.35
2013-02-18 00:26:35,11.77,3.23,0.52,2.01
2013-02-18 00:26:41,11.05,3.06,0.66,1.16
2013-02-18 00:26:47,11.2,3.45,0.19,1.42
2013-02-18 00:26:53,11.35,3.17,0.55,1.02
2013-02-18 00:26:54,11.2,3.33,0.83,1.43
2013-02-18 00:26:59,11.11,3.1,0.55,1.44
2013-02-18 00:27:00,11.01,3.35,0.2,1.58
2013-02-18 00:27:05,11.05,3.69,0.35,1.05
2013-02-18 00:27:06,11.39,3.79,0.3,1.77
2013-02-18 00:27:12,11.01,3.11,0.75,1.67
2013-02-18 00:27:18,11.25,3.03,0.12,1.05
2013-02-18 00:27:24,11.73,3.3,0.41,1.74
2013-02-18 00:27:30,11.48,3.32,0.57,1.44
2013-02-18 00:27:31,12.08,3.25,0.29,1.46
2013-02-18 00:27:36,11.38,3.41,0.4,2.02
2013-02-18 00:27:37,11.44,3.4699999999999998,0.66,1.11
2013-02-18 00:27:42,11.09,3.13,0.03,1.02
2013-02-18 00:27:43,12.09,3.35,0.18,1.35
2013-02-18 00:27:49,11.4,3.22,0.09,1.23
2013-02-18 00:27:55,11.42,3.62,0.33,1.02
2013-02-18 00:28:01,11.3,3.06,0.5,2.1399999999999997
2013-02-18 00:28:07,12.06,3.71,0.14,1.52
2013-02-18 00:28:13,11.26,3.06,0.71,1.4
2013-02-18 00:28:14,11.38,3.54,0.07,1.07
2013-02-18 00:28:19,11.08,3.04,0.33,1.5699999999999998
2013-02-18 00:28:20,11.17,3.52,0.32,1.46
2013-02-18 00:28:25,11.94,3.14,0.09,1.6099999999999999
2013-02-18 00:28:26,11.48,3.2,0.25,1.06
2013-02-18 00:28:31,11.29,3.26,0.01,1.56
2013-02-18 00:28:32,11.45,3.25,0.43,1.44
2013-02-18 00:28:38,11.25,3.2,0.76,1.34
2013-02-18 00:28:44,11.66,3.23,0.4,1.44
2013-02-18 00:28:50,11.92,3.45,0.59,1.38
2013-02-18 00:28:51,11.59,3.62,1.13,1.5
2013-02-18 00:28:56,11.23,3.2,0.07,1.13
2013-02-18 00:28:57,11.86,3.18,0.54,1.71
2013-02-18 00:29:02,11.68,3.32,0.59,1.1400000000000001
2013-02-18 00:29:03,11.06,3.46,0.88,1.22
2013-02-18 00:29:09,11.62,3.18,0.73,1.5
2013-02-18 00:29:15,11.8,3.4,1.2,1.56
2013-02-18 00:29:21,11.3,3.59,0.73,1.65
2013-02-18 00:29:22,11.0,3.26,0.31,1.11
2013-02-18 00:29:27,11.02,3.18,0.08,1.24
2013-02-18 00:29:28,11.23,3.12,1.12,1.37
2013-02-18 00:29:33,11.31,3.95,0.07,1.48
2013-02-18 00:29:34,11.53,3.21,0.19,1.1400000000000001
2013-02-18 00:29:39,11.07,3.19,0.23,1.3900000000000001
2013-02-18 00:29:40,11.06,3.54,0.8,1.06
2013-02-18 00:29:46,11.26,3.25,0.12,1.32
2013-02-18 00:29:52,11.36,3.3,0.52,1.07
2013-02-18 00:29:58,11.56,3.2800000000000002,0.31,1.65
2013-02-18 00:30:04,11.77,3.07,0.9,1.04
2013-02-18 00:30:05,11.64,3.19,0.45,1.62
2013-02-18 00:30:10,11.17,3.17,0.09,2.3200000000000003
2013-02-18 00:30:11,11.37,3.32,0.2,1.08
2013-02-18 00:30:16,11.78,3.23,0.0,1.6600000000000001
2013-02-18 00:30:17,11.06,3.0,0.58,1.25
2013-02-18 00:30:23,11.59,3.35,0.23,1.24
2013-02-18 00:30:29,11.03,3.51,0.5,2.0300000000000002
2013-02-18 00:30:35,12.03,3.69,0.42,1.17
2013-02-18 00:30:41,11.88,3.74,0.01,1.3599999999999999
2013-02-18 00:30:42,11.12,3.9,0.6,1.13
2013-02-18 00:30:47,11.49,3.46,0.21,1.46
2013-02-18 00:30:48,11.32,3.13,0.53,1.12
2013-02-18 00:30:53,11.68,3.14,0.64,1.16
2013-02-18 00:30:54,11.48,3.35,0.54,1.6
2013-02-18 00:31:00,11.34,3.2800000000000002,0.2,1.6
2013-02-18 00:31:06,11.53,3.26,0.57,1.47
2013-02-18 00:31:12,11.88,3.4699999999999998,0.31,1.9100000000000001
2013-02-18 00:31:18,11.59,3.25,0.08,1.27
2013-02-18 00:31:19,12.02,3.09,0.15,1.13
2013-02-18 00:31:24,11.13,3.19,0.04,1.26
2013-02-18 00:31:25,11.36,3.18,0.17,2.0300000000000002
2013-02-18 00:31:30,11.75,3.5,0.22,1.29
2013-02-18 00:31:31,11.04,3.2800000000000002,0.29,1.41
2013-02-18 00:31:36,11.81,3.15,0.77,1.26
2013-02-18 00:31:37,11.69,3.56,0.17,1.09
2013-02-18 00:31:43,11.85,3.13,0.35,1.17
2013-02-18 00:31:49,11.03,3.5300000000000002,0.66,1.38
2013-02-18 00:31:55,11.19,3.01,0.16,1.02
2013-02-18 00:32:01,11.02,3.24,0.04,1.08
2013-02-18 00:32:07,12.03,3.6,0.14,1.81
2013-02-18 00:32:08,11.04,3.95,0.74,1.03
2013-02-18 00:32:13,11.65,3.32,0.33,1.6
2013-02-18 00:32:14,11.33,3.48,0.26,1.13
2013-02-18 00:32:19,11.18,3.35,0.05,1.08
2013-02-18 00:32:20,11.47,3.57,0.24,1.1
2013-02-18 00:32:26,11.26,3.06,0.09,1.3599999999999999
2013-02-18 00:32:32,11.53,3.1,0.33,1.45
2013-02-18 00:32:38,11.03,3.36,0.36,1.16
2013-02-18 00:32:44,11.48,3.04,0.51,1.9100000000000001
2013-02-18 00:32:45,11.49,3.07,0.69,1.01
2013-02-18 00:32:50,11.25,3.5300000000000002,0.26,1.23
2013-02-18 00:32:51,11.27,3.82,0.35,1.09
2013-02-18 00:32:56,11.4,3.36,0.21,1.45
2013-02-18 00:32:57,11.05,3.4699999999999998,0.71,1.07
2013-02-18 00:33:03,11.52,3.31,0.15,1.02
2013-02-18 00:33:09,11.28,3.05,0.43,1.74
2013-02-18 00:33:15,11.6,3.25,0.21,2.6399999999999997
2013-02-18 00:33:21,11.98,3.26,0.55,1.35
2013-02-18 00:33:27,11.02,3.35,0.82,1.62
2013-02-18 00:33:28,11.35,3.08,0.34,1.6
2013-02-18 00:33:33,11.11,3.33,0.43,1.13
2013-02-18 00:33:34,11.06,3.23,0.38,1.06
2013-02-18 00:33:40,11.11,3.35,0.14,1.1
